place_id,destination,title,city,state,address,latitude,longitude,rating,reviews_count,description,image_url,category,source_url,data_source
11,Srinagar,Alkeshwar Mahadev Ghat,Srinagar,Uttarakhand,"6QHP+3FR, Srinagar, Uttarakhand 246174, India",30.2277406,78.786127,4.4,87,,https://lh5.googleusercontent.com/p/AF1QipM2Sss2J1nHaxelnZBXhR9BVJq15fDlC66JWFyf=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Alkeshwar+Mahadev+Ghat/@30.2277406,78.786127,17z/data=!3m1!4b1!4m6!3m5!1s0x3909a5f162727713:0x7123a77e0abe4493!8m2!3d30.2277406!4d78.786127!16s%2Fg%2F11lrklrvv9?hl=en",rich_dataset
12,Haridwar,Crystal World,Haridwar,Uttarakhand,"Delhi Rd, Batedi, Haridwar, Uttarakhand 249405, India",29.899487,77.9881832,4.2,8354,"Bustling amusement park with rides for younger & older kids, water slides, boating & video games.",https://lh5.googleusercontent.com/p/AF1QipPOw4GF76e9Jgw1_AI8ajLXrmMcROsERugew7ev=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Crystal+World/@29.899487,77.9881832,17z/data=!3m1!4b1!4m6!3m5!1s0x39094b90be64eb79:0xd050298d813481be!8m2!3d29.899487!4d77.9881832!16s%2Fg%2F11rs0vhc1?hl=en",rich_dataset
13,Mussoorie,"Jabarkhet Nature Reserve, Mussorie",Mussoorie,Uttarakhand,"Nature Reserve, Jabarkhet, Landour, Mussoorie, Uttarakhand 248179, India",30.4542004,78.1160948,4.6,359,"Private forest reserve in the mountains with wildlife viewing, hiking trails & nature views.",https://lh5.googleusercontent.com/p/AF1QipOx6mdMgsLpwGog5YnmqHq6O-ljlWh9Ek5kwOwR=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Jabarkhet+Nature+Reserve,+Mussorie/@30.4542004,78.1160948,17z/data=!3m1!4b1!4m6!3m5!1s0x3908da0f5c529595:0x84d75de7077b8ba5!8m2!3d30.4542004!4d78.1160948!16s%2Fg%2F11bwl3fxcl?hl=en",rich_dataset
14,Mussoorie,Gun Hill,Mussoorie,Uttarakhand,"F35F+PPC, The Mall Road, Mussoorie, Uttarakhand 248179, India",30.4593197,78.0742701,4.0,8866,A cablecar ride leads to this well-known hilltop locale offering sweeping views.,https://lh5.googleusercontent.com/p/AF1QipOpJPYT30YjZUjonahjKghCktrB_PW73EsBpLmu=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Gun+Hill/@30.4593197,78.0742701,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d0dd0f769685:0x249c5890971467b0!8m2!3d30.4593197!4d78.0742701!16s%2Fg%2F11c1ljtkg8?hl=en",rich_dataset
15,Mussoorie,Buddha Point,Mussoorie,Uttarakhand,"F2GW+7GH, Helipad, Unnamed Road, Charleville, Mussoorie, Uttarakhand 248179, India",30.475685,78.0463724,4.7,36,,https://lh5.googleusercontent.com/p/AF1QipMTKBbA330Vl91mZu7a05kx0zEY7uU4hdiiFhXi=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Buddha+Point/@30.475685,78.0463724,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d12855399b81:0xe0db8298f2b9ea68!8m2!3d30.475685!4d78.0463724!16s%2Fg%2F11lg3n_bmz?hl=en",rich_dataset
16,Dehradun,Jheel Clement Town,Dehradun,Uttarakhand,"Bharuwala Colony, Clement Town, Dehradun, Uttarakhand 248002, India",30.2679618,78.0086401,4.2,1520,,https://lh5.googleusercontent.com/p/AF1QipO05qS8ZXd-2f3m6wKsU1ygV4W9Piy4So6itT3R=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Jheel+Clement+Town/@30.2679618,78.0086401,17z/data=!3m1!4b1!4m6!3m5!1s0x39092be607775da5:0xa871346d3c5ca45d!8m2!3d30.2679618!4d78.0086401!16s%2Fg%2F11dxd__gsk?hl=en",rich_dataset
17,Srinagar,Srinagar Garhwal,Srinagar,Uttarakhand,"6QFV+Q57, Srinagar, Uttarakhand 246174, India",30.2244169,78.7929334,4.5,360,,https://lh5.googleusercontent.com/p/AF1QipNUvJynYbzHpTbgcSw4GBnl3V_q3meVQrjAXbqx=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Srinagar+Garhwal/@30.2244169,78.7929334,17z/data=!3m1!4b1!4m6!3m5!1s0x3909a5a09dd670e5:0xa441a3c9f40c3ae7!8m2!3d30.2244169!4d78.7929334!16s%2Fg%2F11q8y4nw8k?hl=en",rich_dataset
18,Haridwar,Shantikunj Gayatri Parivar,Haridwar,Uttarakhand,"Shantikunj, Shantikunj Rd, Motichur, Haridwar, Uttarakhand 249411, India",29.992474,78.191736,4.6,12350,"Prominent ashram with spiritual camps & classes, plus daily sacramental rites in a tranquil setting.",https://lh5.googleusercontent.com/p/AF1QipOMBBOSXBM5obdzqdQ6fiDvbX_qeN_7geeiNMDC=w1920-h1080-k-no,Historical,"https://www.google.com/maps/place/Shantikunj+Gayatri+Parivar/@29.992474,78.191736,17z/data=!3m1!4b1!4m6!3m5!1s0x390947582b7b6af1:0x77cbaeb7a5c4832c!8m2!3d29.992474!4d78.191736!16s%2Fg%2F1pyqg88vl?hl=en",rich_dataset
19,Dehradun,Assan Barrage Bird Sanctuary,Dehradun,Uttarakhand,"CMP8+88W, Jhanda Mohalla, Dehradun, Uttarakhand 248001, India",30.4358625,77.6658256,4.1,709,,https://lh5.googleusercontent.com/p/AF1QipO8Swm86JG5GRSY5arizvd0kk1SB498NnNnbFNI=w1920-h1080-k-no,Wildlife,"https://www.google.com/maps/place/Assan+Barrage+Bird+Sanctuary/@30.4358625,77.6658256,17z/data=!3m1!4b1!4m6!3m5!1s0x3909299216f65f6d:0x9c447e5fda8ddbcb!8m2!3d30.4358625!4d77.6658256!16s%2Fg%2F1q67d2q9h?hl=en",rich_dataset
20,Dehradun,Subir Raha Oil Museum,Dehradun,Uttarakhand,"Krishna Nagar, Dehradun, Uttarakhand 248003, India",30.3373373,78.0305101,4.5,348,"Museum dedicated to petroleum, its industrial history in India & the conservation of fossil fuels.",https://lh5.googleusercontent.com/p/AF1QipPb9xN35EuWlHyl9xDmUiF6Hr4oHqZpHN5h6O-W=w1920-h1080-k-no,Historical,"https://www.google.com/maps/place/Subir+Raha+Oil+Museum/@30.3373373,78.0305101,17z/data=!3m1!4b1!4m6!3m5!1s0x390929fb51c1ed31:0xcf6efe27a300481b!8m2!3d30.3373373!4d78.0305101!16s%2Fg%2F1v42d4z4?hl=en",rich_dataset
21,Mussoorie,The Buddha Temple,Mussoorie,Uttarakhand,"Charleville, Mussoorie, Uttarakhand 248179, India",30.4717343,78.0497906,4.6,575,,https://lh5.googleusercontent.com/p/AF1QipO1MesWcH5_CJKupJnl4kQBPFBb-9StEPiP2o_J=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/The+Buddha+Temple/@30.4717343,78.0497906,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d17335bbb59f:0x48be84e1ff109128!8m2!3d30.4717343!4d78.0497906!16s%2Fg%2F11gv12d_yp?hl=en",rich_dataset
22,Haridwar,"Pawan Dham, Haridwar",Haridwar,Uttarakhand,"Sapta Sarover Rd, Bhagirathi Nagar, Motichur, Haridwar, Uttarakhand 249411, India",29.973796,78.1800252,4.4,3485,"Ornate Hindu temple featuring mirrored walls, bright glass mosaics & multiple statues of deities.",https://lh5.googleusercontent.com/p/AF1QipPBFnfALAqRWX_I6bkPnfjjR2HuvprGPcGRDkBB=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Pawan+Dham,+Haridwar/@29.973796,78.1800252,17z/data=!3m1!4b1!4m6!3m5!1s0x39094741c7996487:0xb1992eb45d5032fb!8m2!3d29.973796!4d78.1800252!16s%2Fg%2F124ym719g?hl=en",rich_dataset
23,Rishikesh,Neergarh waterfall,Rishikesh,Uttarakhand,"48RW+94X, Neergarh Waterfall Rd, Rishikesh, Uttarakhand 249175, India",30.1409843,78.3453658,4.6,49,,https://lh5.googleusercontent.com/p/AF1QipPLm9y8MIodf6GHUdqjQAlB_1-Tpjyl4LTYDepW=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Neergarh+waterfall/@30.1409843,78.3453658,17z/data=!3m1!4b1!4m6!3m5!1s0x3909178b4a34c6cb:0x42dbc36cdfed7b80!8m2!3d30.1409843!4d78.3453658!16s%2Fg%2F11qbkqgr0q?hl=en",rich_dataset
24,Rishikesh,HimShail WaterFall,Rishikesh,Uttarakhand,"488C+CGC, HimShail WaterFall, Yoga Villa Rd, Swarg Ashram, Rishikesh, Uttarakhand 249304, India",30.116059,78.3212677,4.1,246,,https://lh5.googleusercontent.com/p/AF1QipPn_yGQV0N-TL0xednrbmzlVdskDCGEIYGwblpO=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/HimShail+WaterFall/@30.116059,78.3212677,17z/data=!3m1!4b1!4m6!3m5!1s0x3909166bdc202943:0x54fe425dbd8a0f17!8m2!3d30.116059!4d78.3212677!16s%2Fg%2F11b6gqv9ft?hl=en",rich_dataset
25,Haridwar,"Maa Chandi Devi Temple, Haridwar",Haridwar,Uttarakhand,"W5MJ+G63, Haridwar, Uttarakhand 249408, India",29.9337646,78.1805466,4.7,13035,Historic Hindu temple accessible by cable car offering picturesque mountaintop views.,https://lh5.googleusercontent.com/p/AF1QipOHPxWouqMUTuBnhhF73cRDDxE2mcbje3_ZHh4q=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Maa+Chandi+Devi+Temple,+Haridwar/@29.9337646,78.1805466,17z/data=!3m1!4b1!4m6!3m5!1s0x390946c287e379ab:0x13be51080ea3959!8m2!3d29.9337646!4d78.1805466!16s%2Fm%2F0b6jdv6?hl=en",rich_dataset
26,Rishikesh,Rishikesh Trip.,Rishikesh,Uttarakhand,"NH 58 Badrinath road Tapovan Aamkhala, Rishikesh, Uttarakhand 249192, India",30.1332833,78.3258254,4.5,41,,https://lh5.googleusercontent.com/p/AF1QipMMj6vKMHzWnMWQIpGR_zvM6S31Mrqn-p8Nd6NO=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Rishikesh+Trip./@30.1332833,78.3258254,17z/data=!3m1!4b1!4m6!3m5!1s0x3909164fbfb87ecb:0xe9f9a1bf3de61139!8m2!3d30.1332833!4d78.3258254!16s%2Fg%2F11csrgysyr?hl=en",rich_dataset
27,Haridwar,Shri Mata Mansa Devi Mandir,Haridwar,Uttarakhand,"Haridwar, Uttarakhand 249403, India",29.9578695,78.1652886,4.6,35750,"Perched on a hilltop, this ancient Hindu temple honors Mansa Devi, the folk goddess of snakes.",https://lh5.googleusercontent.com/p/AF1QipOneQUPE252nx8nERRBgKAXH8ziACk3Xz7-Q7_E=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Shri+Mata+Mansa+Devi+Mandir/@29.9578695,78.1652886,17z/data=!3m1!4b1!4m6!3m5!1s0x3909470f800fd417:0x7a5878ff300f835b!8m2!3d29.9578695!4d78.1652886!16s%2Fm%2F0b6mfbm?hl=en",rich_dataset
28,Mussoorie,Mussoorie Waterfall,Mussoorie,Uttarakhand,"F389+54V, Utrakhand, bazar Road, Landour, Mussoorie, Uttarakhand 248179, India",30.4654961,78.0678056,4.3,545,"In the Himalayan foothills, this foliage-framed cascade has a large pool & basic shops at its base.",https://lh5.googleusercontent.com/p/AF1QipONEQlJdUnZkjWjFTy_ozA3q4Ts12l7nDb9xezL=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Mussoorie+Waterfall/@30.4654961,78.0678056,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d0e199822213:0x30aaa768b4127e02!8m2!3d30.4654961!4d78.0678056!16s%2Fg%2F11dynyw18m?hl=en",rich_dataset
29,Dehradun,"The Fun Valley, Dehradun",Dehradun,Uttarakhand,"28th Km Stone, Haridwar Road, Lal Tappar, Dehradun, Uttarakhand 248001, India",30.135775,78.164686,3.7,2957,"Aquatic amusement park with water slides, a lazy river & a wave pool, plus classic roller coasters.",https://lh5.googleusercontent.com/p/AF1QipPEw2MaHGUaRIYNb2eXfz3TLV9cXb1vWZpHnsZB=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/The+Fun+Valley,+Dehradun/@30.135775,78.164686,17z/data=!3m1!4b1!4m6!3m5!1s0x39093b04306a6c19:0x141b2a0c6bb02ee4!8m2!3d30.135775!4d78.164686!16s%2Fg%2F1tk21986?hl=en",rich_dataset
30,Nainital,Tiffin Top,Nainital,Uttarakhand,"9FM2+F63, Ayarpatta, Nainital, Uttarakhand 263002, India",29.3836288,79.4505608,4.5,1945,Scenic mountaintop locale & picnic spot offering horseback rides & views over the Nainital area.,https://lh5.googleusercontent.com/p/AF1QipPUefwOuv7SMgaZbEmNPySvHu452C2Eu-5l9Aj4=w1920-h1080-k-no,Culture,"https://www.google.com/maps/place/Tiffin+Top/@29.3836288,79.4505608,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a1e855d71465:0x8e6e93eeb681e1c1!8m2!3d29.3836288!4d79.4505608!16s%2Fm%2F0k7153r?hl=en",rich_dataset
31,Nainital,Naina Peak West,Nainital,Uttarakhand,"CC5Q+72Q, Nainital, Uttarakhand 263001, India",29.4082133,79.4376161,4.7,1042,"Known as the highest peak in Nainital, this destination offers views the Himalayas & town below.",https://lh5.googleusercontent.com/p/AF1QipMMw6O3GxqX4nOyPE-SKDLRScNFeaQwIJzMmjKu=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Naina+Peak+West/@29.4082133,79.4376161,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a1a4b12e97a1:0x7437a066fdcd60dd!8m2!3d29.4082133!4d79.4376161!16s%2Fm%2F0k7153h?hl=en",rich_dataset
32,Mussoorie,Jawahar Aquarium,Mussoorie,Uttarakhand,"The Mall Rd, The Mall Road, Mussoorie, Uttarakhand 248179, India",30.458187,78.0734348,3.5,406,"This simple, compact aquarium features an array of exotic fish, along with small sharks.",https://lh5.googleusercontent.com/p/AF1QipPLoKWkeYZTUDubetqRHysAm2rlDwpxXDxaGMUf=w1920-h1080-k-no,Wildlife,"https://www.google.com/maps/place/Jawahar+Aquarium/@30.458187,78.0734348,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d0dcf03a9611:0xd7c402f83f4566eb!8m2!3d30.458187!4d78.0734348!16s%2Fg%2F1ptwtzknz?hl=en",rich_dataset
33,Nainital,Nainital view point,Nainital,Uttarakhand,"Kilbury Rd, Mallital, Nainital, Uttarakhand 263002, India",29.3987476,79.4522975,4.5,1962,,https://lh5.googleusercontent.com/p/AF1QipMilgcQ7F58XYktnNgvLkRLNiQa-cGQbvmYH1qG=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Nainital+view+point/@29.3987476,79.4522975,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a196767eb3bd:0x3336aa0553f587ac!8m2!3d29.3987476!4d79.4522975!16s%2Fg%2F11fyljqhy3?hl=en",rich_dataset
34,Dehradun,Sura Devi Temple,Dehradun,Uttarakhand,"93PM+PH3, Malsi, Dehradun, Uttarakhand 248009, India",30.3867703,78.0839331,4.8,40,,https://lh5.googleusercontent.com/p/AF1QipPk-zmCKRfVC2FTQ_akSpqQZYCD3n69COjdv1A2=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Sura+Devi+Temple/@30.3867703,78.0839331,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d7996f573895:0x604f9e26942ab879!8m2!3d30.3867703!4d78.0839331!16s%2Fg%2F11f66c9bn8?hl=en",rich_dataset
35,Rishikesh,Neer Waterfall,Rishikesh,Uttarakhand,"Neergarh Waterfall Rd, Rishikesh, Uttarakhand 249137, India",30.1471894,78.3394872,4.4,9096,,https://lh5.googleusercontent.com/p/AF1QipO8RUJ_e-X1pKTENeWW2BoHxGBfF20443WWOaCj=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Neer+Waterfall/@30.1471894,78.3394872,17z/data=!3m1!4b1!4m6!3m5!1s0x3909173969dec43d:0x989a2ae3a954390d!8m2!3d30.1471894!4d78.3394872!16s%2Fg%2F11qsmgbxys?hl=en",rich_dataset
36,Haridwar,Bhimgoda Barrage,Haridwar,Uttarakhand,"X54J+G4Q, Bhimgoda barrage mod,, Rishikesh Rd, Birla Ghat, Haridwar, Uttarakhand 249401, India",29.9563387,78.1803734,4.5,409,Straightforward metal irrigation & hydroelectric dam with wildlife & a sizable reservoir.,https://lh5.googleusercontent.com/p/AF1QipOqYKVZVgHHBluHmvMe8lAwZmtgQOpyQWgRDiLt=w1920-h1080-k-no,Wildlife,"https://www.google.com/maps/place/Bhimgoda+Barrage/@29.9563387,78.1803734,17z/data=!3m1!4b1!4m6!3m5!1s0x390946fd9cc8093d:0xffd83eb037d71bac!8m2!3d29.9563387!4d78.1803734!16s%2Fm%2F0gysr38?hl=en",rich_dataset
37,Jim Corbett National Park,Sitabani Wildlife Reserve,Ramnagar,Uttarakhand,"Abhishek Ray, Village Maujli, PO Amgarhi, District Nainital, Ramnagar, Uttarakhand 263159, India",29.46571,79.260859,4.3,234,"Forested sanctuary for rare birds, leopards & elephants, plus expansive views of the Himalayas.",https://lh5.googleusercontent.com/p/AF1QipNaqZoSYthPo8_U9zG72RT4ob2Hs6dARIAy2gk5=w1920-h1080-k-no,Wildlife,"https://www.google.com/maps/place/Sitabani+Wildlife+Reserve/@29.46571,79.260859,17z/data=!3m1!4b1!4m6!3m5!1s0x390a0e93990e9057:0x2fda15a7137968ec!8m2!3d29.46571!4d79.260859!16s%2Fg%2F11ghn68b8b?hl=en",rich_dataset
38,Rishikesh,"The Beatles Ashram, Rishikesh",Rishikesh,Uttarakhand,"4876+4V3, Swarg Ashram, Rishikesh, Uttarakhand 249304, India",30.1127675,78.3121592,4.3,4904,"Ashram where the pop band once stayed in the ’60s, now featuring Beatles art & graffiti.",https://lh5.googleusercontent.com/p/AF1QipPx5jnLLbUazcMf4yJAOYbbCWDiwsLJVNiIJEnj=w1920-h1080-k-no,Historical,"https://www.google.com/maps/place/The+Beatles+Ashram,+Rishikesh/@30.1127675,78.3121592,17z/data=!3m1!4b1!4m6!3m5!1s0x3909161244761373:0x80d30af77937aea9!8m2!3d30.1127675!4d78.3121592!16s%2Fg%2F11f60y1sp1?hl=en",rich_dataset
39,Mussoorie,Lal Tibba Scenic Point,Mussoorie,Uttarakhand,"Lal Tibba Binoculars bazar, Road, Landour, Mussoorie, Uttarakhand 248179, India",30.4667102,78.0949734,4.2,12796,Observation deck with a telescope on the roof of a modest cafe known for its views of the Himalayas.,https://lh5.googleusercontent.com/p/AF1QipMGTcdkKleNx2O9QhZLrm1w8lR5BvxLTliUfluC=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Lal+Tibba+Scenic+Point/@30.4667102,78.0949734,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d09692917195:0x45a2c05f40e37bd0!8m2!3d30.4667102!4d78.0949734!16s%2Fg%2F11fy4g5qyr?hl=en",rich_dataset
40,Nainital,G B Pant High Altitude Zoo,Nainital,Uttarakhand,"9FJ9+8F2, Tallital, Nainital, Uttarakhand 263002, India",29.3807621,79.4686432,4.3,6595,"Carved on a steep hillside, this zoo is home to a small assortment of mammals & Himalayan birds.",https://lh5.googleusercontent.com/p/AF1QipM_5jTEkhVD6Ogr2_uB_FMNZ2Zeo0PpB8qR73VT=w1920-h1080-k-no,Wildlife,"https://www.google.com/maps/place/G+B+Pant+High+Altitude+Zoo/@29.3807621,79.4686432,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a1f86a09e5f1:0x9e62a1ca6afed435!8m2!3d29.3807621!4d79.4686432!16s%2Fm%2F0hglfr3?hl=en",rich_dataset
41,Mussoorie,"Bhatta falls, Mussoorie, Uttrakhand",Mussoorie,Uttarakhand,"Bhatta falls, Bhatta Gaon, Mussoorie, Uttarakhand 248122, India",30.4386109,78.0744655,4.3,3794,,https://lh5.googleusercontent.com/p/AF1QipOyCXssKS_R6_7f95ulonGMlbacEXEUnhN3Ago2=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Bhatta+falls,+Mussoorie,+Uttrakhand/@30.4386109,78.0744655,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d7cf53f347c1:0x42335bb2a4cbb16e!8m2!3d30.4386109!4d78.0744655!16s%2Fg%2F11rbyhml6_?hl=en",rich_dataset
42,Nainital,Cave Garden,Nainital,Uttarakhand,"Sukhatal, Mallital, Nainital, Uttarakhand 263001, India",29.392137,79.4452344,4.3,12089,"Garden park with shade trees, multiple caves for exploring & a mechanical bull ride.",https://lh5.googleusercontent.com/p/AF1QipPreKgxw1APOyU1Go3ouza94ko_-DpYhL7STy53=w1920-h1080-k-no,Historical,"https://www.google.com/maps/place/Cave+Garden/@29.392137,79.4452344,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a1bf807ef9b7:0xbdc4268dceae9019!8m2!3d29.392137!4d79.4452344!16s%2Fg%2F124t5bybf?hl=en",rich_dataset
